pair,type,index_distance,length_class,out_degree_source,in_degree_target,intermediate_path_count,hist_first,hist_last,hist_final,hist_stable_last5,g08_first,g08_last,g08_final,g08_stable_last5
"(0,5)",COVER,5,medium,4,2,0,1,34,False,False,1,28,True,False
"(0,8)",TRANSITIVE,8,medium,4,3,1,14,34,False,False,18,28,True,False
"(0,10)",COVER,10,long,4,2,0,17,32,False,False,21,28,True,False
"(0,11)",COVER,11,long,4,7,0,5,33,False,False,5,28,True,False
"(1,5)",COVER,4,short,4,2,0,25,34,False,False,10,28,True,False
"(1,8)",TRANSITIVE,7,medium,4,3,1,16,25,False,False,9,28,True,False
"(1,10)",COVER,9,long,4,2,0,21,34,False,False,15,28,True,False
"(1,11)",COVER,10,long,4,7,0,8,33,False,False,10,28,True,True
"(2,9)",COVER,7,medium,2,5,0,6,33,False,False,6,28,True,True
"(2,11)",COVER,9,long,2,7,0,2,33,False,False,2,28,True,True
"(3,9)",COVER,6,medium,2,5,0,17,33,False,False,6,28,True,True
"(3,11)",COVER,8,medium,2,7,0,5,34,False,False,5,28,True,True
"(4,9)",COVER,5,medium,2,5,0,3,32,False,False,3,28,True,True
"(4,11)",COVER,7,medium,2,7,0,2,33,False,False,2,28,True,True
"(5,8)",COVER,3,short,1,3,0,9,31,False,False,9,28,True,False
"(6,9)",COVER,3,short,2,5,0,7,30,False,False,6,28,True,True
"(6,11)",COVER,5,medium,2,7,0,5,33,False,False,5,28,True,True
"(7,9)",COVER,2,short,2,5,0,6,32,False,False,6,28,True,False
"(7,11)",COVER,4,short,2,7,0,8,32,False,False,7,28,True,True
