budget_label,gamma,optimizer_seed,n,initial_temp,warmup_limit,anneal_limit,max_data,final_energy,energy_gap,interval_rmse,mm_dim_truth,mm_dim_recovered,success_flag,total_relations_target,total_relations_induced,correct_relations,missing_relations_count,extra_relations_count,exact_match,causal_precision,causal_recall,causal_f1,false_positive_relation_rate,false_negative_relation_rate,comparability_fraction_error,runtime_seconds
short_10_10_4,0.5,1959,24,100,10,10,4,110.1072336,110.1072336,15873.25159,2,1.817623626,false,158,72,48,110,24,false,0.6666666667,0.3037974684,0.4173913043,0.2033898305,0.6962025316,-0.3115942029,0.025248021
short_10_10_4,0.5,1962,24,100,10,10,4,112.508326,112.508326,6169.698899,2,1.817623626,false,158,72,44,114,28,false,0.6111111111,0.2784810127,0.3826086957,0.2372881356,0.7215189873,-0.3115942029,0.017954158
short_10_10_4,0.5,1987,24,100,10,10,4,131.8222272,131.8222272,71268273.48,2,1.817623626,false,158,73,41,117,32,false,0.5616438356,0.2594936709,0.354978355,0.2711864407,0.7405063291,-0.3079710145,0.014927644
short_10_10_4,0.5,2001,24,100,10,10,4,107.028675,107.028675,36964.0588,2,1.817623626,false,158,63,45,113,18,false,0.7142857143,0.2848101266,0.407239819,0.1525423729,0.7151898734,-0.3442028986,0.017849428
short_10_10_4,0.5,2026,24,100,10,10,4,110.2596781,110.2596781,13821.7452,2,1.817623626,false,158,77,50,108,27,false,0.6493506494,0.3164556962,0.4255319149,0.2288135593,0.6835443038,-0.2934782609,0.018745761
medium_25_25_8,0.5,1959,24,100,25,25,8,89.88732706,89.88732706,701.8716413,2,1.817623626,false,158,141,111,47,30,false,0.7872340426,0.7025316456,0.7424749164,0.2542372881,0.2974683544,-0.0615942029,12.87047859
medium_25_25_8,0.5,1962,24,100,25,25,8,82.65304401,82.65304401,85.25036508,2,1.817623626,false,158,120,99,59,21,false,0.825,0.6265822785,0.7122302158,0.1779661017,0.3734177215,-0.1376811594,93.05938695
medium_25_25_8,0.5,1987,24,100,25,25,8,80.98924669,80.98924669,61.19107483,2,1.817623626,false,158,145,108,50,37,false,0.7448275862,0.6835443038,0.7128712871,0.313559322,0.3164556962,-0.04710144928,25.93568536
medium_25_25_8,0.5,2001,24,100,25,25,8,83.35073097,83.35073097,696.4200085,2,1.817623626,false,158,140,101,57,39,false,0.7214285714,0.6392405063,0.677852349,0.3305084746,0.3607594937,-0.0652173913,36.85045974
medium_25_25_8,0.5,2026,24,100,25,25,8,86.67363296,86.67363296,66703.19051,2,1.817623626,false,158,105,77,81,28,false,0.7333333333,0.4873417722,0.5855513308,0.2372881356,0.5126582278,-0.1920289855,15.42225265
long_50_50_16,0.5,1959,24,100,50,50,16,0.008124207248,0.008124207248,296.1099264,2,1.817623626,true,158,158,158,0,0,true,1,1,1,0,0,0,81.77327291
long_50_50_16,0.5,1962,24,100,50,50,16,0.07612597271,0.07612597271,3114.239162,2,1.817623626,true,158,153,152,6,1,false,0.9934640523,0.9620253165,0.9774919614,0.008474576271,0.03797468354,-0.01811594203,210.6508061
long_50_50_16,0.5,1987,24,100,50,50,16,1.048764309e-05,1.048764309e-05,340.2153839,2,1.817623626,true,158,159,158,0,1,false,0.9937106918,1,0.9968454259,0.008474576271,0,0.003623188406,77.17353829
long_50_50_16,0.5,2001,24,100,50,50,16,0.00680672265,0.00680672265,592.5091704,2,1.817623626,true,158,160,158,0,2,false,0.9875,1,0.9937106918,0.01694915254,0,0.007246376812,54.41506759
long_50_50_16,0.5,2026,24,100,50,50,16,0.5952694916,0.5952694916,103.8259308,2,1.817623626,true,158,158,158,0,0,true,1,1,1,0,0,0,109.186549
