gamma,optimizer_seed,n,initial_temp,warmup_limit,anneal_limit,max_data,final_energy,energy_gap,interval_rmse,mm_dim_truth,mm_dim_recovered,success_flag,total_relations_target,total_relations_induced,correct_relations,missing_relations_count,extra_relations_count,exact_match,causal_precision,causal_recall,causal_f1,false_positive_relation_rate,false_negative_relation_rate,comparability_fraction_error,runtime_seconds
0.5,1959,24,100,10,10,4,110.1072336,110.1072336,15873.25159,2,1.817623626,false,158,72,48,110,24,false,0.6666666667,0.3037974684,0.4173913043,0.2033898305,0.6962025316,-0.3115942029,0.023989277
0.5,1962,24,100,10,10,4,112.508326,112.508326,6169.698899,2,1.817623626,false,158,72,44,114,28,false,0.6111111111,0.2784810127,0.3826086957,0.2372881356,0.7215189873,-0.3115942029,0.016060448
0.5,1987,24,100,10,10,4,131.8222272,131.8222272,71268273.48,2,1.817623626,false,158,73,41,117,32,false,0.5616438356,0.2594936709,0.354978355,0.2711864407,0.7405063291,-0.3079710145,0.013487437
0.5,2001,24,100,10,10,4,107.028675,107.028675,36964.0588,2,1.817623626,false,158,63,45,113,18,false,0.7142857143,0.2848101266,0.407239819,0.1525423729,0.7151898734,-0.3442028986,0.017496416
0.5,2026,24,100,10,10,4,110.2596781,110.2596781,13821.7452,2,1.817623626,false,158,77,50,108,27,false,0.6493506494,0.3164556962,0.4255319149,0.2288135593,0.6835443038,-0.2934782609,0.017777858
0.53,1959,24,100,10,10,4,121.7227342,121.7227342,36350.3269,2,1.817623626,false,158,47,29,129,18,false,0.6170212766,0.1835443038,0.2829268293,0.1525423729,0.8164556962,-0.402173913,0.015360594
0.53,1962,24,100,10,10,4,116.596426,116.596426,144170.4059,2,1.817623626,false,158,76,46,112,30,false,0.6052631579,0.2911392405,0.3931623932,0.2542372881,0.7088607595,-0.2971014493,0.01556475
0.53,1987,24,100,10,10,4,131.0923894,131.0923894,340916.4007,2,1.817623626,false,158,72,45,113,27,false,0.625,0.2848101266,0.3913043478,0.2288135593,0.7151898734,-0.3115942029,0.015169384
0.53,2001,24,100,10,10,4,107.1549954,107.1549954,11749.60035,2,1.817623626,false,158,60,38,120,22,false,0.6333333333,0.2405063291,0.3486238532,0.186440678,0.7594936709,-0.3550724638,0.014807747
0.53,2026,24,100,10,10,4,111.4523953,111.4523953,10061.07367,2,1.817623626,false,158,64,43,115,21,false,0.671875,0.2721518987,0.3873873874,0.1779661017,0.7278481013,-0.3405797101,0.016490664
0.55,1959,24,100,10,10,4,128.2732417,128.2732417,1779663.909,2,1.817623626,false,158,70,43,115,27,false,0.6142857143,0.2721518987,0.3771929825,0.2288135593,0.7278481013,-0.3188405797,0.013450024
0.55,1962,24,100,10,10,4,116.596426,116.596426,144170.4059,2,1.817623626,false,158,76,46,112,30,false,0.6052631579,0.2911392405,0.3931623932,0.2542372881,0.7088607595,-0.2971014493,0.014711405
0.55,1987,24,100,10,10,4,130.4466962,130.4466962,55649.30463,2,1.817623626,false,158,83,57,101,26,false,0.686746988,0.3607594937,0.4730290456,0.2203389831,0.6392405063,-0.2717391304,0.013345571
0.55,2001,24,100,10,10,4,107.1549954,107.1549954,11749.60035,2,1.817623626,false,158,60,38,120,22,false,0.6333333333,0.2405063291,0.3486238532,0.186440678,0.7594936709,-0.3550724638,0.015133494
0.55,2026,24,100,10,10,4,114.882815,114.882815,178893.5222,2,1.817623626,false,158,52,25,133,27,false,0.4807692308,0.1582278481,0.2380952381,0.2288135593,0.8417721519,-0.384057971,0.016392047
0.57,1959,24,100,10,10,4,128.2732417,128.2732417,1779663.909,2,1.817623626,false,158,70,43,115,27,false,0.6142857143,0.2721518987,0.3771929825,0.2288135593,0.7278481013,-0.3188405797,0.013658201
0.57,1962,24,100,10,10,4,119.131653,119.131653,6071005.72,2,1.817623626,false,158,73,36,122,37,false,0.4931506849,0.2278481013,0.3116883117,0.313559322,0.7721518987,-0.3079710145,0.014821989
0.57,1987,24,100,10,10,4,130.4650175,130.4650175,9137960.63,2,1.817623626,false,158,47,25,133,22,false,0.5319148936,0.1582278481,0.243902439,0.186440678,0.8417721519,-0.402173913,0.013870265
0.57,2001,24,100,10,10,4,107.1549954,107.1549954,11749.60035,2,1.817623626,false,158,60,38,120,22,false,0.6333333333,0.2405063291,0.3486238532,0.186440678,0.7594936709,-0.3550724638,0.015537021
0.57,2026,24,100,10,10,4,115.7075406,115.7075406,51941.62698,2,1.817623626,false,158,64,36,122,28,false,0.5625,0.2278481013,0.3243243243,0.2372881356,0.7721518987,-0.3405797101,0.014516038
0.6,1959,24,100,10,10,4,129.4237263,129.4237263,74962.78346,2,1.817623626,false,158,41,30,128,11,false,0.7317073171,0.1898734177,0.3015075377,0.09322033898,0.8101265823,-0.4239130435,0.01246781
0.6,1962,24,100,10,10,4,114.962374,114.962374,277852.5781,2,1.817623626,false,158,54,30,128,24,false,0.5555555556,0.1898734177,0.2830188679,0.2033898305,0.8101265823,-0.3768115942,0.011951619
0.6,1987,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,158,68,35,123,33,false,0.5147058824,0.2215189873,0.3097345133,0.2796610169,0.7784810127,-0.3260869565,0.012440041
0.6,2001,24,100,10,10,4,114.1631375,114.1631375,73347.23606,2,1.817623626,false,158,57,35,123,22,false,0.6140350877,0.2215189873,0.3255813953,0.186440678,0.7784810127,-0.365942029,0.013456088
0.6,2026,24,100,10,10,4,115.7075406,115.7075406,51941.62698,2,1.817623626,false,158,64,36,122,28,false,0.5625,0.2278481013,0.3243243243,0.2372881356,0.7721518987,-0.3405797101,0.014783613
