optimizer_seed,schedule_label,cooling_factor,budget_label,final_causal_f1,best_checkpoint_causal_f1,delta_best_minus_final,final_energy_eave,best_checkpoint_energy_eave,min_energy_eave,delta_energy_best_minus_final,block_index_final,block_index_best_causal_f1,block_index_min_energy,best_matches_min_energy,inferred_failure_mode
1959,gamma_0p5,0.5,medium_25_25_8,0.4214559387,0.5488215488,0.1273656101,225.8871118,318.6684922,225.8871118,92.7813804,8,6,8,false,H2a_over_annealing_candidate
1962,gamma_0p5,0.5,medium_25_25_8,0.6095551895,0.6095551895,0,220.3473174,220.3473174,220.3473174,0,8,8,8,true,inconclusive
1987,gamma_0p5,0.5,medium_25_25_8,0.3732251521,0.5487012987,0.1754761466,215.6289798,314.5767291,215.6289798,98.9477493,8,6,8,false,H2a_over_annealing_candidate
2001,gamma_0p5,0.5,medium_25_25_8,0.375,0.5842293907,0.2092293907,234.0683704,267.2230745,234.0683704,33.1547041,8,7,8,false,H2a_over_annealing_candidate
1959,gamma_0p8,0.8,medium_25_25_8,0.3742454728,0.4618181818,0.087572709,438.3577088,493.874044,318.7922753,55.5163352,8,7,1,false,H2a_over_annealing_candidate
1962,gamma_0p8,0.8,medium_25_25_8,0.4644194757,0.4644194757,0,482.3838008,482.3838008,332.1295251,0,8,8,1,false,inconclusive
1987,gamma_0p8,0.8,medium_25_25_8,0.3872255489,0.4296875,0.0424619511,447.1066131,548.5205776,322.5500596,101.4139645,8,5,1,false,H2a_over_annealing_candidate
2001,gamma_0p8,0.8,medium_25_25_8,0.350305499,0.4224806202,0.0721751212,488.8433244,509.6265214,281.6646089,20.783197,8,7,1,false,H2a_over_annealing_candidate
1959,gamma_0p9,0.9,medium_25_25_8,0.2975929978,0.371257485,0.0736644872,509.642508,318.7922753,318.7922753,-190.8502327,8,1,1,true,H2b_escape_or_nonconvergence_candidate
1962,gamma_0p9,0.9,medium_25_25_8,0.2686567164,0.3900573614,0.121400645,580.4342695,583.8534731,332.1295251,3.4192036,8,5,1,false,H2a_over_annealing_candidate
1987,gamma_0p9,0.9,medium_25_25_8,0.3761996161,0.4472727273,0.0710731112,504.9252285,473.2638727,322.5500596,-31.6613558,8,2,1,false,H2b_escape_or_nonconvergence_candidate
2001,gamma_0p9,0.9,medium_25_25_8,0.2575107296,0.3850687623,0.1275580327,521.3768458,538.5990017,281.6646089,17.2221559,8,7,1,false,H2a_over_annealing_candidate
1959,gamma_0p95,0.95,medium_25_25_8,0.2352941176,0.371257485,0.1359633674,547.2057331,318.7922753,318.7922753,-228.4134578,8,1,1,true,H2b_escape_or_nonconvergence_candidate
1962,gamma_0p95,0.95,medium_25_25_8,0.322851153,0.4038461538,0.0809950008,592.9857934,632.192445,332.1295251,39.2066516,8,3,1,false,H2a_over_annealing_candidate
1987,gamma_0p95,0.95,medium_25_25_8,0.3543307087,0.4472727273,0.0929420186,598.0760423,473.2638727,322.5500596,-124.8121696,8,2,1,false,H2b_escape_or_nonconvergence_candidate
2001,gamma_0p95,0.95,medium_25_25_8,0.2608695652,0.3759689922,0.115099427,563.1073067,281.6646089,281.6646089,-281.4426978,8,1,1,true,H2b_escape_or_nonconvergence_candidate
