seed_a,block_a,type_a,f1_a,induced_size_a,seed_b,block_b,type_b,f1_b,induced_size_b,intersection_size,union_size,jaccard
1959,6,H2a_peak,0.5488215488,251,1959,6,H2a_peak,0.5488215488,251,251,251,1
1959,6,H2a_peak,0.5488215488,251,1987,6,H2a_peak,0.5487012987,273,105,419,0.2505966587
1959,6,H2a_peak,0.5488215488,251,2001,7,H2a_peak,0.5842293907,215,95,371,0.25606469
1959,6,H2a_peak,0.5488215488,251,1962,8,inconclusive,0.6095551895,264,104,411,0.2530413625
1959,6,H2a_peak,0.5488215488,251,1959,1,control_blk1,0.371257485,158,64,345,0.1855072464
1959,6,H2a_peak,0.5488215488,251,1987,1,control_blk1,0.2920353982,109,53,307,0.1726384365
1959,6,H2a_peak,0.5488215488,251,2001,1,control_blk1,0.3759689922,173,70,354,0.197740113
1959,6,H2a_peak,0.5488215488,251,1962,1,control_blk1,0.3534136546,155,73,333,0.2192192192
1987,6,H2a_peak,0.5487012987,273,1987,6,H2a_peak,0.5487012987,273,273,273,1
1987,6,H2a_peak,0.5487012987,273,2001,7,H2a_peak,0.5842293907,215,102,386,0.2642487047
1987,6,H2a_peak,0.5487012987,273,1962,8,inconclusive,0.6095551895,264,134,403,0.3325062035
1987,6,H2a_peak,0.5487012987,273,1959,1,control_blk1,0.371257485,158,88,343,0.2565597668
1987,6,H2a_peak,0.5487012987,273,1987,1,control_blk1,0.2920353982,109,46,336,0.1369047619
1987,6,H2a_peak,0.5487012987,273,2001,1,control_blk1,0.3759689922,173,62,384,0.1614583333
1987,6,H2a_peak,0.5487012987,273,1962,1,control_blk1,0.3534136546,155,72,356,0.202247191
2001,7,H2a_peak,0.5842293907,215,2001,7,H2a_peak,0.5842293907,215,215,215,1
2001,7,H2a_peak,0.5842293907,215,1962,8,inconclusive,0.6095551895,264,119,360,0.3305555556
2001,7,H2a_peak,0.5842293907,215,1959,1,control_blk1,0.371257485,158,49,324,0.1512345679
2001,7,H2a_peak,0.5842293907,215,1987,1,control_blk1,0.2920353982,109,49,275,0.1781818182
2001,7,H2a_peak,0.5842293907,215,2001,1,control_blk1,0.3759689922,173,65,323,0.2012383901
2001,7,H2a_peak,0.5842293907,215,1962,1,control_blk1,0.3534136546,155,30,340,0.08823529412
1962,8,inconclusive,0.6095551895,264,1962,8,inconclusive,0.6095551895,264,264,264,1
1962,8,inconclusive,0.6095551895,264,1959,1,control_blk1,0.371257485,158,79,343,0.2303206997
1962,8,inconclusive,0.6095551895,264,1987,1,control_blk1,0.2920353982,109,52,321,0.1619937695
1962,8,inconclusive,0.6095551895,264,2001,1,control_blk1,0.3759689922,173,85,352,0.2414772727
1962,8,inconclusive,0.6095551895,264,1962,1,control_blk1,0.3534136546,155,62,357,0.1736694678
1959,1,control_blk1,0.371257485,158,1959,1,control_blk1,0.371257485,158,158,158,1
1959,1,control_blk1,0.371257485,158,1987,1,control_blk1,0.2920353982,109,33,234,0.141025641
1959,1,control_blk1,0.371257485,158,2001,1,control_blk1,0.3759689922,173,20,311,0.06430868167
1959,1,control_blk1,0.371257485,158,1962,1,control_blk1,0.3534136546,155,32,281,0.1138790036
1987,1,control_blk1,0.2920353982,109,1987,1,control_blk1,0.2920353982,109,109,109,1
1987,1,control_blk1,0.2920353982,109,2001,1,control_blk1,0.3759689922,173,31,251,0.1235059761
1987,1,control_blk1,0.2920353982,109,1962,1,control_blk1,0.3534136546,155,37,227,0.1629955947
2001,1,control_blk1,0.3759689922,173,2001,1,control_blk1,0.3759689922,173,173,173,1
2001,1,control_blk1,0.3759689922,173,1962,1,control_blk1,0.3534136546,155,35,293,0.1194539249
1962,1,control_blk1,0.3534136546,155,1962,1,control_blk1,0.3534136546,155,155,155,1
