optimizer_seed,block_index,temperature,energy_eave,causal_precision,causal_recall,causal_f1,missing_relations_count,extra_relations_count,total_relations_target,total_relations_induced,correct_relations,induced_pairs_str
1959,1,100,318.7922753,0.5886075949,0.2711370262,0.371257485,250,65,343,158,93,0:10|0:14|1:2|1:3|1:7|1:10|1:11|1:14|1:17|1:18|1:19|1:20|1:22|1:24|1:27|1:29|1:31|1:33|1:35|2:10|2:14|3:10|3:11|3:14|3:18|3:22|3:24|3:33|3:35|4:8|4:10|4:11|4:14|4:19|4:22|4:24|4:32|4:33|4:35|5:7|5:10|5:11|5:14|5:17|5:18|5:19|5:20|5:22|5:24|5:26|5:27|5:29|5:31|5:33|5:35|6:10|6:11|6:14|6:18|6:19|6:22|6:24|6:32|6:33|6:35|7:10|7:11|7:14|7:17|7:18|7:19|7:20|7:22|7:24|7:27|7:31|7:33|7:35|8:10|8:14|9:10|9:11|9:14|9:17|9:18|9:19|9:20|9:22|9:24|9:27|9:31|9:32|9:33|9:35|11:14|12:14|12:34|13:14|13:17|13:18|13:19|13:20|13:21|13:22|13:24|13:25|13:32|13:33|13:35|15:35|16:17|16:18|16:19|16:20|16:22|16:24|16:27|16:31|16:32|16:33|16:35|17:18|17:20|17:22|17:24|17:35|19:24|19:35|21:22|21:24|21:25|21:32|21:33|21:35|22:24|22:35|23:24|23:27|23:31|23:32|23:33|23:35|24:35|25:32|25:33|25:35|26:29|26:31|26:35|27:33|27:35|28:34|29:31|29:35|30:35|32:33|32:35|33:35
1959,2,50,448.6437152,0.5204081633,0.1486880466,0.231292517,292,47,343,98,51,0:2|0:3|0:4|0:18|0:24|0:26|0:28|0:30|0:33|0:34|1:3|1:4|1:35|5:16|5:18|5:22|5:29|5:34|6:10|8:16|8:18|8:22|8:24|8:26|8:30|8:31|8:34|9:18|9:24|9:26|9:28|9:30|9:33|9:34|11:16|11:18|11:21|11:22|11:24|11:26|11:29|11:30|11:31|11:34|12:16|12:18|12:22|12:24|12:29|12:34|13:34|14:35|15:16|15:18|15:19|15:22|15:29|15:34|16:34|17:24|17:26|17:28|17:33|17:34|17:35|18:34|19:34|20:24|20:26|20:28|20:30|20:31|20:33|20:34|21:22|21:24|21:29|21:34|22:34|23:24|23:26|23:28|23:30|23:31|23:33|23:34|24:34|25:35|26:34|27:29|27:34|28:34|29:34|30:34|31:34|32:33|32:34|33:34
1959,3,25,558.7198397,0.5181818182,0.166180758,0.2516556291,286,53,343,110,57,0:1|0:6|0:9|0:10|0:16|0:23|0:25|0:26|0:27|0:28|0:30|0:31|0:32|1:6|2:6|2:20|2:25|2:26|2:27|2:34|3:6|4:6|4:9|4:10|4:16|4:20|4:23|4:25|4:26|4:27|4:30|5:6|5:9|5:10|5:15|5:16|5:20|5:23|5:24|5:25|5:26|5:27|5:29|5:30|7:9|7:10|7:15|7:16|7:20|7:23|7:24|7:25|7:26|7:27|7:30|8:14|8:16|8:33|9:16|10:16|10:23|10:25|10:27|11:14|11:16|11:33|12:14|12:16|12:33|14:16|15:16|15:23|15:25|15:26|15:27|15:30|17:23|17:28|17:31|18:20|18:23|18:24|18:25|18:26|18:27|18:28|18:29|18:30|19:23|19:25|19:28|19:30|19:31|19:32|19:35|20:25|21:23|21:24|21:25|21:26|21:27|21:29|21:30|22:25|24:25|24:26|24:27|24:30|26:27|29:30
1959,4,12.5,491.86762,0.5578231293,0.2390670554,0.3346938776,261,65,343,147,82,0:1|0:3|0:20|0:25|0:26|0:27|0:30|0:33|0:35|1:3|1:20|1:25|1:33|2:3|2:4|2:7|2:15|2:20|2:25|2:26|2:27|2:29|2:30|2:33|2:34|2:35|4:20|4:26|4:29|5:7|5:8|5:9|5:17|5:20|5:22|5:23|5:25|5:26|5:27|5:30|5:33|5:35|6:15|6:20|6:25|6:26|6:27|6:29|6:30|6:33|6:35|7:25|7:33|7:35|9:17|9:20|9:23|9:25|9:26|9:27|9:30|9:33|9:35|10:17|10:20|10:23|10:25|10:26|10:27|10:29|10:30|10:33|10:34|10:35|11:15|11:20|11:25|11:26|11:27|11:29|11:30|11:33|11:34|11:35|12:16|12:26|13:14|13:17|13:20|13:25|13:27|13:30|13:33|13:35|15:20|15:25|15:26|15:29|15:33|16:26|17:25|17:27|17:33|17:35|18:20|18:25|18:26|18:29|18:33|19:20|19:21|19:23|19:25|19:26|19:27|19:29|19:30|19:33|19:34|19:35|21:23|21:25|21:26|21:27|21:29|21:30|21:33|21:34|21:35|22:23|22:25|22:26|22:27|22:30|22:33|22:35|23:25|23:27|23:30|23:33|23:35|24:28|27:33|30:33|30:35|31:35|34:35
1959,5,6.25,401.3653345,0.6262135922,0.3760932945,0.4699453552,214,77,343,206,129,0:14|0:24|1:6|1:7|1:8|1:12|1:14|1:15|1:17|1:18|1:19|1:21|1:25|1:26|1:27|1:29|1:31|1:32|1:33|1:34|1:35|2:7|2:12|2:14|2:17|2:18|2:19|2:26|2:31|2:32|2:33|2:34|2:35|3:30|3:34|4:8|4:12|4:14|4:15|4:18|4:19|4:21|4:25|4:26|4:27|4:29|4:30|4:32|4:33|4:34|4:35|5:8|5:12|5:14|5:15|5:17|5:18|5:19|5:21|5:25|5:26|5:27|5:29|5:31|5:32|5:33|5:34|5:35|6:7|6:8|6:12|6:14|6:15|6:17|6:18|6:19|6:21|6:25|6:26|6:27|6:29|6:31|6:32|6:33|6:34|6:35|7:12|7:14|7:17|7:18|7:19|7:26|7:31|7:32|7:33|7:35|8:19|8:26|8:29|8:32|8:33|8:34|9:15|9:19|9:21|9:26|9:29|9:30|9:32|9:33|9:34|9:35|10:12|10:14|10:17|10:18|10:19|10:26|10:31|10:32|10:33|10:34|10:35|11:12|11:14|11:15|11:17|11:18|11:19|11:21|11:25|11:26|11:27|11:29|11:31|11:32|11:33|11:34|11:35|12:14|12:19|12:26|12:32|12:33|12:35|13:14|13:15|13:17|13:18|13:19|13:21|13:25|13:26|13:27|13:29|13:31|13:32|13:33|13:34|13:35|15:19|15:21|15:34|17:32|17:33|18:19|18:26|18:32|18:33|18:35|20:21|20:23|20:26|20:30|20:34|21:34|22:25|22:26|22:27|22:29|22:31|22:32|22:33|22:34|22:35|23:30|23:34|25:26|25:32|25:33|25:34|25:35|27:32|27:33|27:34|27:35|28:31|28:32|28:33|28:35|29:33|29:34|30:34|31:32|31:33|32:33
1959,6,3.125,318.6684922,0.6494023904,0.4752186589,0.5488215488,180,88,343,251,163,0:2|0:6|0:13|0:15|0:17|0:18|0:22|0:24|0:25|0:26|0:29|0:30|0:32|0:33|0:35|1:2|1:5|1:6|1:10|1:11|1:13|1:15|1:16|1:18|1:19|1:20|1:21|1:22|1:24|1:25|1:26|1:27|1:28|1:29|1:30|1:32|1:33|1:34|1:35|2:22|2:30|3:6|3:10|3:12|3:15|3:16|3:18|3:19|3:20|3:21|3:22|3:23|3:25|3:28|3:29|3:30|3:31|3:32|3:33|3:34|4:6|4:8|4:13|4:15|4:18|4:22|4:24|4:25|4:26|4:28|4:29|4:30|4:32|4:33|4:34|4:35|5:6|5:10|5:13|5:15|5:18|5:19|5:20|5:21|5:22|5:24|5:25|5:28|5:29|5:30|5:32|5:33|5:34|6:22|6:25|6:29|6:30|6:32|6:33|7:12|7:18|7:22|7:29|7:30|7:31|7:32|8:13|8:15|8:18|8:22|8:24|8:25|8:26|8:29|8:30|8:32|8:33|8:35|9:10|9:15|9:16|9:18|9:19|9:20|9:21|9:22|9:24|9:25|9:28|9:29|9:30|9:31|9:32|9:33|9:34|10:15|10:18|10:22|10:25|10:28|10:29|10:30|10:32|10:33|10:34|11:15|11:18|11:19|11:20|11:21|11:22|11:24|11:25|11:28|11:29|11:30|11:32|11:33|11:34|12:22|12:30|12:31|13:22|13:25|13:29|13:30|13:33|14:15|14:17|14:18|14:22|14:24|14:25|14:26|14:29|14:30|14:32|14:33|14:35|15:18|15:22|15:29|15:30|15:32|16:18|16:22|16:25|16:28|16:29|16:30|16:32|16:33|16:34|18:22|18:30|19:20|19:21|19:22|19:25|19:28|19:29|19:30|19:32|19:33|19:34|20:21|20:22|20:25|20:28|20:29|20:30|20:32|20:33|20:34|21:22|21:25|21:28|21:29|21:30|21:32|21:33|21:34|23:25|23:28|23:29|23:30|23:31|23:32|23:33|23:34|24:25|24:29|24:30|24:32|24:33|25:29|25:30|25:33|26:29|26:35|27:28|27:29|27:30|27:32|27:33|27:34|27:35|28:29|28:30|28:32|28:33
1959,7,1.5625,258.2866631,0.643153527,0.4518950437,0.5308219178,188,86,343,241,155,0:2|0:4|0:5|0:10|0:12|0:13|0:16|0:17|0:18|0:19|0:24|0:25|0:27|0:28|0:29|0:30|0:33|0:34|0:35|1:2|1:4|1:6|1:9|1:10|1:12|1:13|1:16|1:17|1:18|1:19|1:20|1:21|1:22|1:24|1:25|1:28|1:29|1:30|1:31|1:33|1:34|1:35|2:4|2:13|2:16|2:18|2:19|2:28|2:29|2:30|2:33|2:34|2:35|3:4|3:5|3:10|3:12|3:13|3:16|3:17|3:18|3:19|3:20|3:22|3:24|3:25|3:27|3:28|3:29|3:30|3:32|3:33|3:34|3:35|4:29|4:34|5:16|5:19|5:24|5:25|5:27|5:28|5:30|5:34|6:16|6:18|6:19|6:20|6:28|6:29|6:30|6:33|6:34|7:16|7:23|7:29|7:31|7:33|7:34|8:9|8:10|8:12|8:13|8:16|8:17|8:18|8:19|8:20|8:22|8:24|8:25|8:27|8:28|8:29|8:30|8:32|8:33|8:34|8:35|9:12|9:13|9:16|9:18|9:19|9:20|9:22|9:24|9:28|9:29|9:30|9:33|9:34|9:35|10:12|10:13|10:16|10:18|10:19|10:24|10:28|10:29|10:30|10:33|10:34|10:35|11:16|11:30|11:34|12:16|12:18|12:19|12:24|12:28|12:29|12:30|12:33|12:34|12:35|13:16|13:18|13:19|13:28|13:29|13:30|13:33|13:34|13:35|14:16|14:19|14:20|14:21|14:23|14:26|14:28|14:29|14:30|14:31|14:33|14:34|15:16|15:19|15:20|15:21|15:26|15:28|15:29|15:30|15:31|15:33|15:34|16:34|17:18|17:19|17:24|17:28|17:29|17:30|17:33|17:34|17:35|18:19|18:28|18:30|18:33|18:34|19:34|20:29|20:33|20:34|21:28|21:29|21:30|21:31|21:33|21:34|22:28|22:29|22:30|22:33|22:34|22:35|24:28|24:30|24:34|25:28|25:30|25:34|26:29|26:31|26:33|26:34|27:30|27:34|28:30|28:34|29:34|31:34|32:33|32:34|32:35|33:34
1959,8,0.78125,225.8871118,0.6145251397,0.3206997085,0.4214559387,233,69,343,179,110,0:10|0:12|0:14|0:18|0:26|0:27|0:28|0:30|0:31|0:33|0:35|1:12|1:19|1:23|1:25|1:26|1:27|1:28|1:31|1:33|1:35|2:10|2:12|2:18|2:19|2:23|2:26|2:27|2:28|2:31|2:33|2:35|3:10|3:11|3:12|3:14|3:18|3:19|3:20|3:23|3:26|3:27|3:28|3:30|3:31|3:33|3:35|4:12|4:13|4:14|4:21|4:26|4:27|4:30|4:31|4:33|4:35|5:10|5:12|5:18|5:19|5:23|5:25|5:26|5:27|5:28|5:31|5:33|5:35|6:19|6:23|6:25|6:27|6:28|6:31|7:10|7:12|7:18|7:19|7:20|7:23|7:25|7:26|7:27|7:28|7:30|7:31|7:33|7:35|8:27|8:31|8:32|9:27|9:32|10:12|10:26|10:27|10:31|10:33|10:35|11:12|11:14|11:18|11:19|11:26|11:27|11:28|11:30|11:31|11:33|11:35|12:27|12:31|13:14|13:26|13:27|13:30|13:31|13:33|13:35|14:26|14:27|14:30|14:31|14:33|14:35|15:19|15:25|15:28|16:21|16:26|16:27|16:31|16:32|16:33|16:35|17:27|17:32|18:26|18:27|18:31|18:33|18:35|19:28|20:23|20:26|20:27|20:28|20:30|20:31|20:33|20:35|21:26|21:27|21:31|22:26|22:27|22:31|22:33|22:35|23:28|23:31|24:26|24:27|24:28|24:30|24:31|24:32|24:33|24:35|26:27|26:31|29:31|29:33|29:35|30:31|30:33|30:35|34:35
1962,1,100,332.1295251,0.5677419355,0.2565597668,0.3534136546,255,67,343,155,88,0:4|0:5|0:6|0:13|0:14|0:15|0:18|0:21|0:22|0:26|0:27|0:30|0:32|0:33|1:4|1:5|1:10|1:13|1:14|1:15|1:18|1:21|1:22|1:26|1:27|1:30|1:32|1:33|2:4|2:5|2:6|2:10|2:13|2:14|2:15|2:18|2:21|2:22|2:26|2:27|2:28|2:30|2:32|2:33|3:5|3:10|3:15|3:22|3:26|3:27|3:30|3:32|3:34|4:5|4:13|4:14|4:15|4:27|4:30|6:13|6:14|6:15|6:18|6:21|6:22|6:26|6:27|6:30|6:32|6:33|7:8|7:13|7:14|7:15|7:21|7:27|7:30|8:13|8:14|8:15|8:21|8:27|8:30|9:13|9:14|9:15|9:21|9:26|9:27|9:30|9:32|10:15|10:22|10:26|10:27|10:30|10:32|11:13|11:14|11:15|11:21|11:26|11:27|11:30|11:32|12:13|12:14|12:21|12:30|13:14|15:30|16:22|16:26|16:27|16:28|16:30|16:31|16:32|16:34|18:26|18:27|18:30|18:32|19:22|19:26|19:27|19:28|19:30|19:32|19:33|22:26|22:27|22:30|22:32|23:30|24:26|24:27|24:30|24:31|24:32|24:34|25:26|25:27|25:28|25:30|25:32|25:33|26:27|26:30|26:32|27:30|28:30|28:32|31:32|31:34
1962,2,50,481.5495298,0.4473684211,0.1982507289,0.2747474747,275,84,343,152,68,2:3|2:4|2:5|2:8|2:10|2:13|2:16|2:28|2:31|2:32|2:33|3:8|3:31|3:32|3:33|4:5|4:8|4:10|4:13|4:28|4:31|4:32|4:33|5:8|5:10|5:13|5:28|5:31|5:32|5:33|6:8|6:18|6:31|6:32|6:33|7:8|7:9|7:10|7:13|7:15|7:19|7:20|7:23|7:24|7:25|7:28|7:29|7:31|7:32|7:33|9:10|9:15|9:31|9:32|9:33|10:32|10:33|11:13|11:15|11:20|11:23|11:24|11:25|11:29|11:31|11:32|11:33|12:13|12:15|12:19|12:20|12:23|12:24|12:25|12:28|12:29|12:30|12:31|12:32|12:33|12:34|13:31|13:32|13:33|14:33|15:31|15:32|15:33|16:31|16:32|16:33|17:19|17:20|17:23|17:24|17:25|17:28|17:29|17:31|17:32|17:33|18:32|18:33|19:20|19:23|19:24|19:25|19:28|19:29|19:31|19:32|19:33|20:31|20:32|20:33|21:31|21:32|21:33|22:23|22:26|22:27|22:29|22:31|22:32|22:33|23:31|23:32|23:33|24:29|24:31|24:32|24:33|25:29|25:31|25:32|25:33|26:32|26:33|27:31|27:32|27:33|28:31|28:32|28:33|29:31|29:32|29:33|30:31|30:32|30:33|31:32|31:33
