grid_family,grid_index,gamma,n,initial_temp,warmup_limit,anneal_limit,max_data,final_energy,energy_gap,interval_rmse,mm_dim_truth,mm_dim_recovered,success_flag,runtime_seconds
log_0p5_0p9_21,0,0.5,24,100,10,10,4,131.8222272,131.8222272,71268273.48,2,1.817623626,false,0.014453826
log_0p5_0p9_21,1,0.5149127309,24,100,10,10,4,131.0923894,131.0923894,340916.4007,2,1.817623626,false,0.014851131
log_0p5_0p9_21,2,0.5302702408,24,100,10,10,4,131.0923894,131.0923894,340916.4007,2,1.817623626,false,0.014966465
log_0p5_0p9_21,3,0.5460857956,24,100,10,10,4,130.4466962,130.4466962,55649.30463,2,1.817623626,false,0.013773845
log_0p5_0p9_21,4,0.5623730566,24,100,10,10,4,130.4650175,130.4650175,9137960.63,2,1.817623626,false,0.014073193
log_0p5_0p9_21,5,0.5791460926,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012158053
log_0p5_0p9_21,6,0.5964193923,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012449316
log_0p5_0p9_21,7,0.614207876,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012078996
log_0p5_0p9_21,8,0.6325269095,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012503975
log_0p5_0p9_21,9,0.6513923166,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012278012
log_0p5_0p9_21,10,0.6708203932,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012505169
log_0p5_0p9_21,11,0.6908279212,24,100,10,10,4,151.2373892,151.2373892,344640.349,2,1.817623626,false,0.012024017
log_0p5_0p9_21,12,0.7114321829,24,100,10,10,4,151.2373892,151.2373892,344640.349,2,1.817623626,false,0.01256001
log_0p5_0p9_21,13,0.7326509763,24,100,10,10,4,139.4652556,139.4652556,268366.4969,2,1.817623626,false,0.012598177
log_0p5_0p9_21,14,0.7545026299,24,100,10,10,4,139.4652556,139.4652556,268366.4969,2,1.817623626,false,0.011917084
log_0p5_0p9_21,15,0.7770060192,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.011686195
log_0p5_0p9_21,16,0.8001805825,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.011582592
log_0p5_0p9_21,17,0.8240463379,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011103648
log_0p5_0p9_21,18,0.8486239004,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.01118635
log_0p5_0p9_21,19,0.8739345,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011372751
log_0p5_0p9_21,20,0.9,24,100,10,10,4,143.5630278,143.5630278,729055.7319,2,1.817623626,false,0.01143585
lin_0p5_0p9_21,0,0.5,24,100,10,10,4,131.8222272,131.8222272,71268273.48,2,1.817623626,false,0.01386223
lin_0p5_0p9_21,1,0.52,24,100,10,10,4,131.0923894,131.0923894,340916.4007,2,1.817623626,false,0.014945306
lin_0p5_0p9_21,2,0.54,24,100,10,10,4,131.0923894,131.0923894,340916.4007,2,1.817623626,false,0.014990117
lin_0p5_0p9_21,3,0.56,24,100,10,10,4,130.4650175,130.4650175,9137960.63,2,1.817623626,false,0.014544576
lin_0p5_0p9_21,4,0.58,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012549624
lin_0p5_0p9_21,5,0.6,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012539862
lin_0p5_0p9_21,6,0.62,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012082254
lin_0p5_0p9_21,7,0.64,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012339361
lin_0p5_0p9_21,8,0.66,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012220136
lin_0p5_0p9_21,9,0.68,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012195566
lin_0p5_0p9_21,10,0.7,24,100,10,10,4,151.2373892,151.2373892,344640.349,2,1.817623626,false,0.012053603
lin_0p5_0p9_21,11,0.72,24,100,10,10,4,151.2373892,151.2373892,344640.349,2,1.817623626,false,0.011939087
lin_0p5_0p9_21,12,0.74,24,100,10,10,4,139.4652556,139.4652556,268366.4969,2,1.817623626,false,0.012639702
lin_0p5_0p9_21,13,0.76,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.011940736
lin_0p5_0p9_21,14,0.78,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.011767695
lin_0p5_0p9_21,15,0.8,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.011865436
lin_0p5_0p9_21,16,0.82,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011254763
lin_0p5_0p9_21,17,0.84,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011586407
lin_0p5_0p9_21,18,0.86,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011889954
lin_0p5_0p9_21,19,0.88,24,100,10,10,4,143.5630278,143.5630278,729055.7319,2,1.817623626,false,0.011803876
lin_0p5_0p9_21,20,0.9,24,100,10,10,4,143.5630278,143.5630278,729055.7319,2,1.817623626,false,0.011634271
log_0p45_0p95_21,0,0.45,24,100,10,10,4,125.5777959,125.5777959,561219.2185,2,1.817623626,false,0.034147514
log_0p45_0p95_21,1,0.4671303323,24,100,10,10,4,131.8222272,131.8222272,71268273.48,2,1.817623626,false,0.013632464
log_0p45_0p95_21,2,0.4849127719,24,100,10,10,4,131.8222272,131.8222272,71268273.48,2,1.817623626,false,0.014486121
log_0p45_0p95_21,3,0.5033721428,24,100,10,10,4,131.2862134,131.2862134,272367.0051,2,1.817623626,false,0.015288249
log_0p45_0p95_21,4,0.522534214,24,100,10,10,4,131.0923894,131.0923894,340916.4007,2,1.817623626,false,0.015153047
log_0p45_0p95_21,5,0.5424257356,24,100,10,10,4,131.0923894,131.0923894,340916.4007,2,1.817623626,false,0.015494187
log_0p45_0p95_21,6,0.5630744758,24,100,10,10,4,130.4650175,130.4650175,9137960.63,2,1.817623626,false,0.014827291
log_0p45_0p95_21,7,0.58450926,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012725782
log_0p45_0p95_21,8,0.6067600108,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012666159
log_0p45_0p95_21,9,0.6298577899,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012625706
log_0p45_0p95_21,10,0.6538348415,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012514661
log_0p45_0p95_21,11,0.6787246373,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012689948
log_0p45_0p95_21,12,0.704561923,24,100,10,10,4,151.2373892,151.2373892,344640.349,2,1.817623626,false,0.012277033
log_0p45_0p95_21,13,0.7313827671,24,100,10,10,4,145.0051914,145.0051914,18585.57105,2,1.817623626,false,0.013785988
log_0p45_0p95_21,14,0.7592246112,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.012358355
log_0p45_0p95_21,15,0.788126322,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.012322006
log_0p45_0p95_21,16,0.818128246,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011350049
log_0p45_0p95_21,17,0.8492722653,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011508289
log_0p45_0p95_21,18,0.8816018567,24,100,10,10,4,143.5630278,143.5630278,729055.7319,2,1.817623626,false,0.011964908
log_0p45_0p95_21,19,0.9151621517,24,100,10,10,4,148.4405064,148.4405064,1888006.672,2,1.817623626,false,0.011779342
log_0p45_0p95_21,20,0.95,24,100,10,10,4,148.4405064,148.4405064,1888006.672,2,1.817623626,false,0.012234959
lin_0p45_0p95_21,0,0.45,24,100,10,10,4,125.5777959,125.5777959,561219.2185,2,1.817623626,false,0.034449698
lin_0p45_0p95_21,1,0.475,24,100,10,10,4,131.8222272,131.8222272,71268273.48,2,1.817623626,false,0.013959082
lin_0p45_0p95_21,2,0.5,24,100,10,10,4,131.8222272,131.8222272,71268273.48,2,1.817623626,false,0.014371782
lin_0p45_0p95_21,3,0.525,24,100,10,10,4,131.0923894,131.0923894,340916.4007,2,1.817623626,false,0.015702072
lin_0p45_0p95_21,4,0.55,24,100,10,10,4,130.4466962,130.4466962,55649.30463,2,1.817623626,false,0.014156423
lin_0p45_0p95_21,5,0.575,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.013229385
lin_0p45_0p95_21,6,0.6,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.013277714
lin_0p45_0p95_21,7,0.625,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012377418
lin_0p45_0p95_21,8,0.65,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012504181
lin_0p45_0p95_21,9,0.675,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012456638
lin_0p45_0p95_21,10,0.7,24,100,10,10,4,151.2373892,151.2373892,344640.349,2,1.817623626,false,0.012769694
lin_0p45_0p95_21,11,0.725,24,100,10,10,4,145.0051914,145.0051914,18585.57105,2,1.817623626,false,0.012967946
lin_0p45_0p95_21,12,0.75,24,100,10,10,4,139.4652556,139.4652556,268366.4969,2,1.817623626,false,0.011785121
lin_0p45_0p95_21,13,0.775,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.014362076
lin_0p45_0p95_21,14,0.8,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.012407868
lin_0p45_0p95_21,15,0.825,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011576344
lin_0p45_0p95_21,16,0.85,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011986073
lin_0p45_0p95_21,17,0.875,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011546603
lin_0p45_0p95_21,18,0.9,24,100,10,10,4,143.5630278,143.5630278,729055.7319,2,1.817623626,false,0.011509778
lin_0p45_0p95_21,19,0.925,24,100,10,10,4,148.4405064,148.4405064,1888006.672,2,1.817623626,false,0.013472381
lin_0p45_0p95_21,20,0.95,24,100,10,10,4,148.4405064,148.4405064,1888006.672,2,1.817623626,false,0.012330762
log_0p5_0p9_31,0,0.5,24,100,10,10,4,131.8222272,131.8222272,71268273.48,2,1.817623626,false,0.014709522
log_0p5_0p9_31,1,0.5098930446,24,100,10,10,4,131.2862134,131.2862134,272367.0051,2,1.817623626,false,0.014718749
