family,d_spacetime,n,case_seed,optimizer_seed,target_dim,initial_temp,gamma,warmup_limit,anneal_limit,max_data,initial_energy,warmup_energy,truth_energy,final_energy,energy_gap,interval_rmse,mm_dim_truth,mm_dim_recovered,success_flag,runtime_seconds
minkowski,2,24,1959,1987,1,100,0.5,10,10,4,31.21371363,415.2477124,0,131.8222272,131.8222272,71268273.48,2,1.817623626,false,0.013931332
minkowski,2,24,1959,1987,1,100,0.53027,10,10,4,31.21371363,415.2477124,0,131.0923894,131.0923894,340916.4007,2,1.817623626,false,0.014732311
minkowski,2,24,1959,1987,1,100,0.562373,10,10,4,31.21371363,415.2477124,0,130.4650175,130.4650175,9137960.63,2,1.817623626,false,0.013836655
minkowski,2,24,1959,1987,1,100,0.596419,10,10,4,31.21371363,415.2477124,0,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.011828413
minkowski,2,24,1959,1987,1,100,0.632527,10,10,4,31.21371363,415.2477124,0,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.01212484
minkowski,2,24,1959,1987,1,100,0.67082,10,10,4,31.21371363,415.2477124,0,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012063614
minkowski,2,24,1959,1987,1,100,0.711432,10,10,4,31.21371363,415.2477124,0,151.2373892,151.2373892,344640.349,2,1.817623626,false,0.011744918
minkowski,2,24,1959,1987,1,100,0.754503,10,10,4,31.21371363,415.2477124,0,139.4652556,139.4652556,268366.4969,2,1.817623626,false,0.0117259
minkowski,2,24,1959,1987,1,100,0.800181,10,10,4,31.21371363,415.2477124,0,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.011492086
minkowski,2,24,1959,1987,1,100,0.848624,10,10,4,31.21371363,415.2477124,0,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011224504
minkowski,2,24,1959,1987,1,100,0.9,10,10,4,31.21371363,415.2477124,0,143.5630278,143.5630278,729055.7319,2,1.817623626,false,0.011293218
