gamma,final_energy,final_energy_rank,energy_gap,energy_gap_rank,interval_rmse,interval_rmse_rank,success_flag,success_rank,within_10pct_final
0.500000,131.822227,3,131.822227,3,71268273.480000,9,false,2,true
0.530270,131.092389,2,131.092389,2,340916.400700,3,false,2,true
0.562373,130.465017,1,130.465017,1,9137960.630000,8,false,2,true
0.596419,135.645205,4,135.645205,4,6106828.456000,6,false,2,true
0.632527,135.645205,4,135.645205,4,6106828.456000,6,false,2,true
0.670820,135.645205,4,135.645205,4,6106828.456000,6,false,2,true
0.711432,151.237389,9,151.237389,9,344640.349000,4,false,2,false
0.754503,139.465256,6,139.465256,6,268366.496900,2,false,2,true
0.800181,139.321485,5,139.321485,5,7210040.598000,7,false,2,true
0.848624,142.986146,7,142.986146,7,113319.222500,1,false,2,true
0.900000,143.563028,8,143.563028,8,729055.731900,5,false,2,false
