schedule_label,cooling_factor,budget_label,block_index,temperature,energy_eave,causal_precision,causal_recall,causal_f1,missing_relations_count,extra_relations_count,total_relations_target,total_relations_induced,correct_relations,exact_match,success_flag,delta_energy_eave,delta_causal_f1,delta_causal_recall,delta_missing_relations,delta_extra_relations,energy_down_f1_down,energy_down_recall_down,energy_down_missing_up,energy_down_extra_up
gamma_0p5,0.5,medium_25_25_8,1,100,322.5500596,0.6055045872,0.1924198251,0.2920353982,277,43,343,109,66,false,false,NA,NA,NA,NA,NA,false,false,false,false
gamma_0p5,0.5,medium_25_25_8,2,50,444.8486095,0.5209580838,0.2536443149,0.3411764706,256,80,343,167,87,false,false,122.2985499,0.04914107236,0.0612244898,-21,37,false,false,false,false
gamma_0p5,0.5,medium_25_25_8,3,25,548.0369189,0.6211180124,0.2915451895,0.3968253968,243,61,343,161,100,false,false,103.1883094,0.05564892624,0.03790087464,-13,-19,false,false,false,false
gamma_0p5,0.5,medium_25_25_8,4,12.5,477.6520778,0.4928571429,0.2011661808,0.2857142857,274,71,343,140,69,false,false,-70.38484108,-0.1111111111,-0.09037900875,31,10,true,true,true,true
gamma_0p5,0.5,medium_25_25_8,5,6.25,389.6941909,0.6186046512,0.387755102,0.476702509,210,82,343,215,133,false,false,-87.95788695,0.1909882232,0.1865889213,-64,11,false,false,false,true
gamma_0p5,0.5,medium_25_25_8,6,3.125,314.5767291,0.619047619,0.4927113703,0.5487012987,174,104,343,273,169,false,false,-75.11746182,0.07199878974,0.1049562682,-36,22,false,false,false,true
gamma_0p5,0.5,medium_25_25_8,7,1.5625,263.5178411,0.6475409836,0.4606413994,0.538330494,185,86,343,244,158,false,false,-51.05888798,-0.01037080466,-0.03206997085,11,-18,true,true,true,false
gamma_0p5,0.5,medium_25_25_8,8,0.78125,215.6289798,0.6133333333,0.2682215743,0.3732251521,251,58,343,150,92,false,false,-47.88886127,-0.1651053419,-0.1924198251,66,-28,true,true,true,false
gamma_0p8,0.8,medium_25_25_8,1,100,322.5500596,0.6055045872,0.1924198251,0.2920353982,277,43,343,109,66,false,false,NA,NA,NA,NA,NA,false,false,false,false
gamma_0p8,0.8,medium_25_25_8,2,80,476.7753313,0.4948453608,0.139941691,0.2181818182,295,49,343,97,48,false,false,154.2252717,-0.07385358005,-0.05247813411,18,6,false,false,false,false
gamma_0p8,0.8,medium_25_25_8,3,64,615.6250338,0.5564516129,0.2011661808,0.295503212,274,55,343,124,69,false,false,138.8497025,0.07732139381,0.0612244898,-21,6,false,false,false,false
gamma_0p8,0.8,medium_25_25_8,4,51.2,570.7103756,0.5539215686,0.3294460641,0.4131627057,230,91,343,204,113,false,false,-44.9146582,0.1176594937,0.1282798834,-44,36,false,false,false,true
