optimizer_seed,schedule_label,cooling_factor,final_energy_eave,final_causal_f1,best_causal_f1_seen,block_of_best_f1,final_recall,final_missing,final_extra,minimum_energy_seen,block_of_minimum_energy,energy_down_f1_down_count,energy_down_recall_down_count,energy_down_missing_up_count,energy_down_extra_up_count
1959,gamma_0p5,0.5,225.8871118,0.4214559387,0.5488215488,6,0.3206997085,233,69,225.8871118,8,2,2,2,3
1959,gamma_0p8,0.8,438.3577088,0.3742454728,0.4618181818,7,0.2711370262,250,61,318.7922753,1,2,2,2,3
1959,gamma_0p9,0.9,509.642508,0.2975929978,0.371257485,1,0.1982507289,275,46,318.7922753,1,1,2,2,3
1959,gamma_0p95,0.95,547.2057331,0.2352941176,0.371257485,1,0.1516034985,291,47,318.7922753,1,2,2,2,2
1962,gamma_0p5,0.5,220.3473174,0.6095551895,0.6095551895,8,0.5393586006,158,79,220.3473174,8,2,2,2,1
1962,gamma_0p8,0.8,482.3838008,0.4644194757,0.4644194757,8,0.361516035,219,67,332.1295251,1,2,2,2,1
1962,gamma_0p9,0.9,580.4342695,0.2686567164,0.3900573614,5,0.1836734694,280,63,332.1295251,1,1,1,1,3
1962,gamma_0p95,0.95,592.9857934,0.322851153,0.4038461538,3,0.2244897959,266,57,332.1295251,1,1,1,1,2
1987,gamma_0p5,0.5,215.6289798,0.3732251521,0.5487012987,6,0.2682215743,251,58,215.6289798,8,3,3,3,3
1987,gamma_0p8,0.8,447.1066131,0.3872255489,0.4296875,5,0.2827988338,246,61,322.5500596,1,2,3,3,3
1987,gamma_0p9,0.9,504.9252285,0.3761996161,0.4472727273,2,0.2857142857,245,80,322.5500596,1,4,4,4,3
1987,gamma_0p95,0.95,598.0760423,0.3543307087,0.4472727273,2,0.2623906706,253,75,322.5500596,1,2,2,2,2
2001,gamma_0p5,0.5,234.0683704,0.375,0.5842293907,7,0.2711370262,250,60,234.0683704,8,2,3,3,3
2001,gamma_0p8,0.8,488.8433244,0.350305499,0.4224806202,7,0.250728863,257,62,281.6646089,1,1,1,1,3
2001,gamma_0p9,0.9,521.3768458,0.2575107296,0.3850687623,7,0.1749271137,283,63,281.6646089,1,2,2,2,1
2001,gamma_0p95,0.95,563.1073067,0.2608695652,0.3759689922,1,0.1749271137,283,57,281.6646089,1,2,2,2,2
