optimizer_seed,schedule_label,cooling_factor,budget_label,t_initial,t_final,schedule_converged,final_causal_f1,peak_causal_f1,f1_endpoint_loss,peak_block_index,peak_temperature,peak_before_final_block,peak_is_first_block,peak_in_cold_window,f1_range
1959,gamma_0p5,0.5,medium_25_25_8,100,0.78125,true,0.4214559387,0.5488215488,0.1273656101,6,3.125,true,false,true,0.3175290318
1962,gamma_0p5,0.5,medium_25_25_8,100,0.78125,true,0.6095551895,0.6095551895,0,8,0.78125,false,false,false,0.3348077148
1987,gamma_0p5,0.5,medium_25_25_8,100,0.78125,true,0.3732251521,0.5487012987,0.1754761466,6,3.125,true,false,true,0.262987013
2001,gamma_0p5,0.5,medium_25_25_8,100,0.78125,true,0.375,0.5842293907,0.2092293907,7,1.5625,true,false,true,0.297272869
1959,gamma_0p8,0.8,medium_25_25_8,100,20.97152,false,0.3742454728,0.4618181818,0.087572709,7,26.2144,true,false,false,0.1804329004
1962,gamma_0p8,0.8,medium_25_25_8,100,20.97152,false,0.4644194757,0.4644194757,0,8,20.97152,false,false,false,0.2653044315
1987,gamma_0p8,0.8,medium_25_25_8,100,20.97152,false,0.3872255489,0.4296875,0.0424619511,5,40.96,true,false,false,0.2115056818
2001,gamma_0p8,0.8,medium_25_25_8,100,20.97152,false,0.350305499,0.4224806202,0.0721751212,7,26.2144,true,false,false,0.227242525
1959,gamma_0p9,0.9,medium_25_25_8,100,47.82969,false,0.2975929978,0.371257485,0.0736644872,1,100,true,true,false,0.121257485
1962,gamma_0p9,0.9,medium_25_25_8,100,47.82969,false,0.2686567164,0.3900573614,0.121400645,5,65.61,true,false,false,0.1562911276
1987,gamma_0p9,0.9,medium_25_25_8,100,47.82969,false,0.3761996161,0.4472727273,0.0710731112,2,90,true,false,false,0.1886122192
2001,gamma_0p9,0.9,medium_25_25_8,100,47.82969,false,0.2575107296,0.3850687623,0.1275580327,7,53.1441,true,false,false,0.2049301942
1959,gamma_0p95,0.95,medium_25_25_8,100,69.83372961,false,0.2352941176,0.371257485,0.1359633674,1,100,true,true,false,0.1388013446
1962,gamma_0p95,0.95,medium_25_25_8,100,69.83372961,false,0.322851153,0.4038461538,0.0809950008,3,90.25,true,false,false,0.188599517
1987,gamma_0p95,0.95,medium_25_25_8,100,69.83372961,false,0.3543307087,0.4472727273,0.0929420186,2,95,true,false,false,0.1967134432
2001,gamma_0p95,0.95,medium_25_25_8,100,69.83372961,false,0.2608695652,0.3759689922,0.115099427,1,100,true,true,false,0.2061576714
