block,temperature,energy,induced_relations,missing_relations_count,extra_relations_count,exact_match
1,100.0,81.00522665585751,0,48,0,false
2,90.0,77.83767427945806,14,36,2,false
3,81.0,85.44132924826826,5,45,2,false
4,72.9,77.51021821685343,5,46,3,false
5,65.61000000000001,83.15845078673469,5,43,0,false
6,59.049000000000014,84.64812653474881,12,42,6,false
7,53.144100000000016,82.6963417628252,11,38,1,false
8,47.829690000000014,89.07246237825068,16,36,4,false
9,43.04672100000001,80.85761271796292,8,41,1,false
10,38.742048900000015,86.3636289670414,9,42,3,false
11,34.86784401000001,78.60511041744387,5,44,1,false
12,31.381059609000012,78.60011657453751,9,41,2,false
13,28.242953648100013,76.55700366923227,10,38,0,false
14,25.41865828329001,66.28440315317414,21,27,0,false
15,22.87679245496101,80.83048884576456,10,41,3,false
16,20.58911320946491,77.10321411706352,18,32,2,false
17,18.53020188851842,70.17817646681254,11,41,4,false
18,16.67718169966658,66.79324793415002,8,42,2,false
19,15.009463529699921,65.74119852599661,3,45,0,false
20,13.50851717672993,68.04219875545905,3,45,0,false
21,12.157665459056936,70.45540934586728,4,45,1,false
22,10.941898913151244,64.10475393321835,7,41,0,false
23,9.847709021836119,58.01589670765261,6,43,1,false
24,8.862938119652506,57.73925234443127,15,35,2,false
25,7.9766443076872555,57.565455400120214,8,41,1,false
26,7.17897987691853,52.34221615845802,10,40,2,false
27,6.461081889226677,50.96148679981302,23,30,5,false
28,5.81497370030401,52.01682483522699,12,39,3,false
29,5.233476330273609,41.585270760084796,9,39,0,false
30,4.710128697246248,44.504636552095256,17,32,1,false
31,4.239115827521624,39.25298960550571,20,32,4,false
32,3.815204244769461,39.93708777086536,12,36,0,false
33,3.433683820292515,35.77786650147331,20,31,3,false
34,3.090315438263264,34.467263099253664,13,39,4,false
35,2.7812838944369376,31.915134896118605,20,34,6,false
