block,temperature,energy,induced_relations,missing_relations_count,extra_relations_count,exact_match
1,100.0,81.00522665585751,0,48,0,false
2,80.0,77.83767427945806,14,36,2,false
3,64.0,83.31424611094042,5,44,1,false
4,51.2,85.68855266253868,12,37,1,false
5,40.96000000000001,83.18543793363484,2,47,1,false
6,32.76800000000001,73.81792370401999,6,42,0,false
7,26.21440000000001,71.26442199139022,23,30,5,false
8,20.97152000000001,77.65966553217591,5,44,1,false
9,16.777216000000006,75.89783975358363,9,42,3,false
10,13.421772800000006,65.1948283936473,11,41,4,false
11,10.737418240000006,67.68983256212714,2,47,1,false
12,8.589934592000004,65.29034593900431,26,24,2,false
13,6.871947673600004,49.1041645922033,13,37,2,false
14,5.497558138880003,47.83048639778306,22,33,7,false
15,4.398046511104003,41.81762343090927,10,41,3,false
16,3.5184372088832023,34.95149879605721,21,28,1,false
17,2.814749767106562,30.111160057203197,7,41,0,false
18,2.25179981368525,31.963241934883566,11,41,4,false
19,1.8014398509482001,20.43427286841609,27,22,1,false
20,1.4411518807585602,14.74216402050244,22,27,1,false
21,1.1529215046068482,12.672574030622338,27,22,1,false
22,0.9223372036854786,11.29927260598642,24,24,0,false
23,0.7378697629483829,4.36302629008933,48,1,1,false
24,0.5902958103587064,0.050869104500007846,48,0,0,true
