block,temperature,energy,induced_relations,missing_relations_count,extra_relations_count,exact_match
1,100.0,35.543565389635226,4,18,3,false
2,80.0,42.91300346113867,4,17,2,false
3,64.0,46.11234025632817,5,18,4,false
4,51.2,41.967385853389786,2,19,2,false
5,40.96000000000001,37.5758727386227,8,15,4,false
6,32.76800000000001,36.96673520329375,7,14,2,false
7,26.21440000000001,41.94350380579011,9,15,5,false
8,20.97152000000001,31.842489790808294,10,14,5,false
9,16.777216000000006,32.895443755663685,6,17,4,false
10,13.421772800000006,35.877697252831155,20,9,10,false
11,10.737418240000006,35.53049915664634,1,18,0,false
12,8.589934592000004,29.10731023745505,17,14,12,false
13,6.871947673600004,30.977025290942212,2,18,1,false
14,5.497558138880003,28.104194644857703,7,14,2,false
15,4.398046511104003,23.740878077721813,8,14,3,false
16,3.5184372088832023,23.653977558315578,13,9,3,false
17,2.814749767106562,18.66149421520738,13,9,3,false
18,2.25179981368525,18.098068210282378,8,17,6,false
19,1.8014398509482001,15.180172158385696,11,10,2,false
20,1.4411518807585602,12.739580128756957,7,15,3,false
21,1.1529215046068482,9.015369774409928,9,13,3,false
22,0.9223372036854786,8.176373400301223,15,7,3,false
23,0.7378697629483829,4.333437289665735,16,8,5,false
24,0.5902958103587064,5.008244507794513,18,8,7,false
25,0.4722366482869651,2.095886122290981,21,1,3,false
26,0.3777893186295721,2.52729127893475,20,1,2,false
27,0.3022314549036577,0.032800012998994266,21,0,2,false
28,0.24178516392292618,0.008072100312450146,19,0,0,true
