block,temperature,energy,induced_relations,missing_relations_count,extra_relations_count,exact_match
1,100.0,35.543565389635226,4,18,3,false
2,90.0,42.91300346113867,4,17,2,false
3,81.0,46.11234025632817,5,18,4,false
4,72.9,41.967385853389786,2,19,2,false
5,65.61000000000001,37.5758727386227,8,15,4,false
6,59.049000000000014,36.07569390419999,6,16,3,false
7,53.144100000000016,33.91511298678078,9,15,5,false
8,47.829690000000014,37.153943561759704,10,12,3,false
9,43.04672100000001,39.44947921452668,4,17,2,false
10,38.742048900000015,37.694155180740836,1,19,1,false
11,34.86784401000001,41.78240297775919,10,16,7,false
12,31.381059609000012,41.78450479758881,3,18,2,false
13,28.242953648100013,39.673111670988234,3,19,3,false
14,25.41865828329001,45.76837604892619,10,14,5,false
15,22.87679245496101,38.81420378776686,8,17,6,false
16,20.58911320946491,36.31776942313401,7,16,4,false
17,18.53020188851842,38.7811383732712,15,16,12,false
18,16.67718169966658,36.70235756637629,9,15,5,false
19,15.009463529699921,37.53946015230413,6,14,1,false
20,13.50851717672993,31.821225437494387,5,19,5,false
21,12.157665459056936,39.60235362187696,13,16,10,false
22,10.941898913151244,28.54185857409563,11,13,5,false
23,9.847709021836119,33.156517642566854,7,17,5,false
24,8.862938119652506,27.638306067551913,11,13,5,false
25,7.9766443076872555,32.42934728631418,22,7,10,false
26,7.17897987691853,25.726323165862695,2,19,2,false
27,6.461081889226677,29.477934592417444,9,15,5,false
28,5.81497370030401,28.18265959734237,6,19,6,false
29,5.233476330273609,28.138608803364306,18,8,7,false
30,4.710128697246248,23.69695957411636,7,13,1,false
31,4.239115827521624,22.390435082232372,25,10,16,false
32,3.815204244769461,20.756634558012934,21,9,11,false
33,3.433683820292515,22.749456023516526,11,11,3,false
34,3.090315438263264,23.83223664657337,13,14,8,false
35,2.7812838944369376,16.80890143460476,1,19,1,false
